analysis             sr                        o         b         db              s                  ds               s95obs         s95exp         robscons          rexpcons           
atlas_1506_08616     SRinA                     38.0      27.0      7.0             0.0                28.7085380277    26.0           19.0           0                 0                  
atlas_1506_08616     SRinB                     20.0      14.1      2.8             0.0                28.7085380277    16.1           11.2           0                 0                  
atlas_1506_08616     SRinC                     10.0      7.1       2.9             0.0                28.7085380277    11.4           9.1            0                 0                  
atlas_1506_08616     WWSR1                     40.0      47.0      14.0            0.0                28.7085380277    20.0           23.0           0                 0                  
atlas_1506_08616     WWSR2                     71.0      80.0      13.0            0.0                28.7085380277    23.0           27.0           0                 0                  
atlas_1506_08616     WWSR3                     215.0     203.0     27.0            0.0                28.7085380277    66.0           57.0           0                 0                  
atlas_1506_08616     WWSR4                     88.0      81.0      11.0            0.0                28.7085380277    35.1           28.8           0                 0                  
atlas_1506_08616     WWSR5                     4.0       3.4       0.9             0.0                28.7085380277    6.2            5.5            0                 0                  
atlas_1506_08616     WWSR6                     160.0     154.0     19.0            0.0                28.7085380277    48.0           44.0           0                 0                  
atlas_1506_08616     WWSR7                     21.0      23.0      4.0             0.0                28.7085380277    11.0           13.0           0                 0                  
atlas_conf_2012_104  el                        10.0      9.0       2.8             0.0                8.20245997394    9.9            9.3            0                 0                  
atlas_conf_2012_104  mu                        4.0       7.7       3.2             0.0                8.20245997394    6.4            8.3            0                 0                  
atlas_conf_2013_024  SR1                       15.0      17.5      3.2             0.0                28.5565101264    10.0           10.6           0                 0                  
atlas_conf_2013_024  SR2                       2.0       4.7       1.5             0.0                28.5565101264    3.6            5.3            0                 0                  
atlas_conf_2013_024  SR3                       1.0       2.7       1.2             0.0                28.5565101264    3.9            4.5            0                 0                  
atlas_conf_2013_049  SR_WWa                    123.0     117.9     14.6            0.0                28.7085380277    39.382         35.931         0                 0                  
atlas_conf_2013_049  SR_WWb                    16.0      13.6      2.3             0.0                28.7085380277    11.774         10.353         0                 0                  
atlas_conf_2013_049  SR_WWc                    9.0       7.4       1.5             0.0                28.7085380277    8.729          7.511          0                 0                  
atlas_conf_2013_049  SR_mT2_110_elel           4.0       6.1       2.2             0.0                28.7085380277    5.481          6.699          0                 0                  
atlas_conf_2013_049  SR_mT2_110_elmu           5.0       4.4       2.0             0.0                28.7085380277    7.105          6.699          0                 0                  
atlas_conf_2013_049  SR_mT2_110_mumu           4.0       6.3       2.4             0.110690286732     0.063906699478   5.684          6.699          0.00103506326327  0.000878235496104  
atlas_conf_2013_049  SR_mT2_90_elel            15.0      16.6      2.3             0.0                28.7085380277    8.932          10.15          0                 0                  
atlas_conf_2013_049  SR_mT2_90_elmu            19.0      20.7      3.2             0.0                28.7085380277    10.353         11.571         0                 0                  
atlas_conf_2013_049  SR_mT2_90_mumu            19.0      22.4      3.3             0.147586839799     0.0737930072198  9.541          11.774         0.00278443642785  0.00225635365705   
atlas_conf_2013_061  SR0L4JA                   2.0       3.0       1.3             0.0                28.4257064756    4.6            5.0            0                 0                  
atlas_conf_2013_061  SR0L4JB                   3.0       1.3       1.0             0.0                28.4257064756    6.7            5.0            0                 0                  
atlas_conf_2013_061  SR0L4JC                   2.0       1.8       1.0             0.0                28.4257064756    4.8            4.4            0                 0                  
atlas_conf_2013_061  SR0L7JA                   22.0      22.5      6.9             0.0                28.4257064756    15.3           14.6           0                 0                  
atlas_conf_2013_061  SR0L7JB                   3.0       3.6       2.5             0.0                28.4257064756    6.1            6.0            0                 0                  
atlas_conf_2013_061  SR0L7JC                   1.0       0.8       0.85            0.0                28.4257064756    3.9            3.6            0                 0                  
atlas_conf_2013_061  SR1L6JA                   7.0       15.5      8.4             0.0                28.4257064756    6.6            9.5            0                 0                  
atlas_conf_2013_061  SR1L6JB                   0.0       7.4       5.7             0.0                28.4257064756    3.0            3.9            0                 0                  
atlas_conf_2013_061  SR1L6JC                   0.0       3.0       2.8             0.0                28.4257064756    3.0            3.1            0                 0                  
atlas_conf_2013_089  DROF                      12.0      17.8      3.2             0.0                28.7085380277    7.6            10.4           0                 0                  
atlas_conf_2013_089  DROFOS                    10.0      15.6      2.8             0.0                28.7085380277    6.8            9.6            0                 0                  
atlas_conf_2013_089  DRSF                      17.0      17.3      2.6             0.073793           20.3000532904    11.0           10.4           0                 0                  
atlas_conf_2013_089  DRSFOS                    17.0      16.3      2.5             0.073793           20.3000532904    11.6           10.2           0                 0                  
